ORF	IniProb	rand_mRNA
YCR097W	0.0011274254559053	11
YCR106W	0.000208757670685363	1
YDL001W	0.00114117934263256	4
YDL002C	0.00142098404873777	8
YDL003W	0.001276952635539	2
YDL004W	0.00240583982884776	18
YDL005C	0.000883620203556847	5
YDL006W	0.00116847078265316	3
YDL007W	0.00185023760182114	17
YDL008W	0.00108833294503663	8
YDL010W	0.00150566952790655	4
YDL012C	0.00305505982846078	7
YDL013W	0.000582394963334937	4
YDL014W	0.00485546587422744	37
YDL015C	0.00180438408808307	12
YDL017W	0.00104685163041644	4
YDL018C	0.00125342292672827	5
YDL019C	0.000663392597606515	2
YDL020C	0.000862172531254345	10
YDL021W	0.00125137434957181	3
YDL022W	0.00358673173908818	19
YDL025C	0.00060659049940774	2
YDL027C	0.000499307013935557	2
YDL028C	0.000496702096893405	3
YDL029W	0.00117953123980645	24
YDL030W	0.000906003969380233	3
YDL031W	0.00110088497760299	4
YDL033C	0.000442758094945482	3
YDL035C	0.000386390324997201	1
YDL036C	0.0006471509843281	4
YDL040C	0.00103011063884642	11
YDL042C	0.000816174674288542	3
YDL043C	0.0020067931089101	2
YDL044C	0.00105387741238816	5
YDL045C	0.00115627952189783	2
YDL045WA	0.00165595320574913	8
YDL046W	0.00205678501685433	13
YDL047W	0.00112329671296368	8
YDL048C	0.000804654047838617	1
YDL051W	0.0016227143699457	22
YDL052C	0.00113350480137174	8
YDL053C	0.00159015224178107	10
YDL054C	0.000887533439377404	2
YDL055C	0.003264749967961	113
YDL056W	0.000663692712689931	4
YDL057W	0.00113706226882845	2
YDL058W	0.000672849543922572	10
YDL059C	0.00096234348084351	1
YDL060W	0.00114340426223734	4
YDL063C	0.000698697564723658	6
YDL064W	0.00168930513242675	10
YDL065C	0.00214246104503479	2
YDL066W	0.00164508963277966	35
YDL067C	0.00360537187757125	8
YDL069C	0.000519168803630283	2
YDL070W	0.000640933253778382	9
YDL072C	0.00132910760607801	16
YDL073W	0.000265619106379818	2
YDL074C	0.000640300881140062	8
YDL075W	0.00472145605990725	242
YDL076C	0.000974704313993725	4
YDL077C	0.000491096150373859	4
YDL078C	0.00175720416778995	7
YDL080C	0.000295414140251833	2
YDL081C	0.00424123308549404	234
YDL084W	0.00212491372263619	58
YDL085CA	0.00299786986334272	9
YDL086W	0.00139266536563748	6
YDL087C	0.000768251478128209	3
YDL088C	0.000834750064644283	2
YDL089W	0.000706232012344898	2
YDL090C	0.0008101853571897	4
YDL091C	0.000719436095043054	1
YDL092W	0.00202394806590436	8
YDL093W	0.000833818101366939	3
