Gene	Avg_ribo_stall
843	0.0830077
844	0
845	0.513935
846	0.180369
847	0.220884
848	0.100561
849	0.199989
850	0.145815
851	0.532103
852	1.20949
853	0.1081
854	0.0998871
855	2.33697
856	0.122744
857	0.719017
858	0.430017
859	0.0892471
860	1.4226
861	0.381858
862	0.0451455
863	0.0242408
864	0.0427542
865	0.101613
866	0.285347
867	0.0200403
868	0.0340048
869	0.0191055
870	0.129595
871	2.64935
872	0.290281
873	1.6347
874	0.0563758
875	0.247041
876	0.224401
877	0.175772
878	0.0433179
879	0.0354711
880	0.0953977
881	0.105003
882	0.0860642
883	0.0988622
884	0.147827
885	0.097489
886	0.0594377
887	0.0480708
888	0.0194197
889	1.36192
890	0.70693
891	1.38222
892	0.309746
893	2.72407
894	0.0370468
895	0.172164
896	0.132111
897	0.214009
898	0.0106288
899	3.14135
900	3.76968
901	0.0669325
902	0.159725
903	0.175877
904	0.157401
905	0.732723
906	0.948299
907	0.423418
908	0.0920516
909	0.0340101
910	0.0755273
911	1.37734
912	0.305793
913	0.0370993
914	0.0757137
915	0.142729
916	0.123726
917	0.0579276
918	0.0103787
919	0.0640515
920	0.00479264
921	0.18903
922	0.115242
923	0.00963207
924	8.55552e-05
925	0.106316
926	0.163128
927	0.761988
928	0
929	0.163538
930	0.0311969
931	0.0754226
932	0.338799
933	0.042494
934	0.306605
935	0.0604935
936	0.127426
937	0.0409041
938	0.274247
939	0.00404531
940	0.00240821
941	1.37127
942	0.0359011
943	0.157423
944	0.88006
945	0.138187
946	0.007552
947	0.071588
948	0.0642481
949	0.0479457
950	0.0840196
951	0.00762503
952	0.00207331
953	0.556279
954	0.0307389
955	0.141333
956	0.821888
957	0.183716
958	0.197179
959	0.252634
960	0.313439
961	0.610932
962	0.409303
963	0.249664
964	0.191053
965	0.276216
966	0.22525
967	1.40834
968	0.045794
969	0.0246291
970	0.294232
971	0.283085
972	0.534841
973	0.195364
974	0.149911
975	0.0256951
976	0.00122053
977	0.0500095
978	0.214035
979	0.0278046
980	0.0068216
981	0.0470341
982	0.149617
983	0.0494993
984	1.35576
985	0.588173
986	0.352477
987	0.0151474
988	0.231344
989	0.12879
990	0.0758125
991	1.08558
992	0.0436338
